StaffID,Age,Gender,Department,Role,StoreRegion,EmploymentType,ShiftType,WeeklyHours,HourlyWage,TenureMonths,ManagerRating,TrainingHoursLastYear,CommuteMinutes,EngagementScore,CustomerSatRating
240,65,Non-Binary,Finance,Controller,West Coast,Part-Time,Morning,20,25.8,217,4,8,12,7.8,
241,60,Female,Sales Floor,Department Lead,Southwest,Full-Time,Morning,45,29.5,10,1,25,35,5.0,2.9
242,25,Non-Binary,Customer Service,CS Representative,Midwest,Full-Time,Rotating,45,27.07,51,4,9,78,7.0,3.6
243,41,Male,Sales Floor,Store Associate,Southeast,Full-Time,Rotating,35,15.76,63,1,39,23,4.5,2.9
244,57,Male,Warehouse,Inventory Analyst,Northeast,Full-Time,Rotating,45,28.45,113,5,31,17,7.8,
245,42,Non-Binary,IT,IT Support,Southwest,Full-Time,Evening,35,44.26,83,2,36,34,4.6,
246,63,Non-Binary,HR,HR Manager,Northeast,Full-Time,Rotating,45,19.68,137,5,15,65,5.1,
247,33,Male,IT,POS Technician,West Coast,Full-Time,Evening,35,37.06,15,5,1,25,6.7,
248,58,Male,Sales Floor,Store Associate,Midwest,Full-Time,Morning,45,14.37,204,3,31,47,4.5,4.1
249,37,Non-Binary,Customer Service,CS Manager,Southwest,Part-Time,Rotating,25,15.29,7,1,28,25,2.8,3.3
250,22,Non-Binary,Sales Floor,Visual Merchandiser,Midwest,Full-Time,Evening,45,14.34,21,3,29,15,4.3,3.3
251,64,Female,Warehouse,Inventory Analyst,Northeast,Part-Time,Morning,25,29.31,93,1,33,86,4.2,
252,49,Female,Sales Floor,Store Associate,Northeast,Full-Time,Morning,50,26.7,67,3,27,79,6.0,3.4
253,42,Male,Warehouse,Receiving Clerk,Southeast,Full-Time,Evening,35,22.22,144,5,12,10,5.7,
254,41,Male,Customer Service,Call Center Agent,Northeast,Full-Time,Afternoon,35,12.91,106,3,7,31,4.0,2.7
255,22,Non-Binary,Sales Floor,Department Lead,West Coast,Full-Time,Afternoon,45,19.79,37,2,27,43,4.1,3.2
256,65,Female,Marketing,Marketing Manager,Midwest,Part-Time,Evening,30,39.49,81,3,2,74,7.4,
257,46,Non-Binary,Marketing,Marketing Manager,West Coast,Full-Time,Rotating,45,27.52,159,1,8,30,3.9,
258,60,Female,Customer Service,CS Manager,Northeast,Part-Time,Rotating,20,14.9,146,2,31,7,3.8,2.6
259,37,Female,Supply Chain,Logistics Coordinator,West Coast,Full-Time,Morning,45,25.05,120,4,2,25,6.8,
260,40,Non-Binary,Sales Floor,Visual Merchandiser,Northeast,Part-Time,Rotating,25,13.16,53,5,9,30,3.7,3.9
261,47,Non-Binary,HR,Recruiter,Midwest,Full-Time,Morning,40,21.33,128,1,33,55,4.6,
262,43,Non-Binary,Finance,Controller,Southeast,Full-Time,Afternoon,35,42.23,118,5,36,54,6.3,
263,49,Non-Binary,Marketing,Marketing Manager,Southeast,Part-Time,Morning,30,30.5,151,5,17,53,7.7,
264,58,Non-Binary,Warehouse,Forklift Operator,Southeast,Full-Time,Morning,40,24.19,74,4,38,61,5.7,
265,57,Non-Binary,Sales Floor,Visual Merchandiser,Northeast,Full-Time,Evening,45,17.17,140,4,35,78,6.7,4.8
266,38,Male,Sales Floor,Department Lead,Southwest,Full-Time,Rotating,45,21.16,139,2,24,12,4.3,4.3
267,37,Female,Warehouse,Shift Supervisor,Southwest,Full-Time,Evening,50,24.12,15,5,30,86,3.7,
268,46,Male,Marketing,Marketing Manager,Southeast,Full-Time,Afternoon,50,29.69,135,2,28,18,2.8,
269,52,Female,Warehouse,Inventory Analyst,Southwest,Part-Time,Morning,25,26.68,163,2,4,41,5.0,
270,48,Female,Warehouse,Forklift Operator,Midwest,Full-Time,Evening,50,17.04,153,2,7,68,4.2,
271,45,Male,Customer Service,Call Center Agent,Southwest,Full-Time,Morning,35,28.5,35,4,33,40,7.6,4.8
272,44,Female,Warehouse,Shift Supervisor,Midwest,Part-Time,Afternoon,25,24.29,99,4,32,89,6.1,
273,34,Female,Supply Chain,Buyer,Southeast,Full-Time,Rotating,35,15.49,86,2,36,82,4.6,
274,60,Non-Binary,Customer Service,CS Representative,Southwest,Part-Time,Morning,30,27.47,7,5,10,61,7.3,2.8
275,57,Non-Binary,Customer Service,CS Manager,Southeast,Full-Time,Afternoon,45,25.33,35,4,8,24,6.6,4.0
276,44,Male,Marketing,Digital Marketing Specialist,West Coast,Full-Time,Rotating,50,30.29,229,3,31,39,5.4,
277,27,Male,Marketing,Digital Marketing Specialist,Southwest,Full-Time,Afternoon,40,31.17,62,1,4,24,5.5,
278,36,Female,Customer Service,Call Center Agent,Northeast,Full-Time,Morning,40,29.14,155,5,6,60,6.8,2.5
279,21,Non-Binary,Supply Chain,Demand Planner,Northeast,Full-Time,Rotating,45,29.39,7,4,8,88,6.9,
280,29,Male,Sales Floor,Store Associate,Midwest,Full-Time,Evening,40,23.0,34,4,12,12,6.6,3.8
281,43,Female,Sales Floor,Cashier,Midwest,Part-Time,Morning,20,20.95,146,4,4,20,6.4,4.1
282,20,Female,Sales Floor,Store Manager,Midwest,Part-Time,Rotating,30,14.95,1,4,16,36,4.8,3.6
283,21,Non-Binary,Sales Floor,Cashier,Midwest,Part-Time,Afternoon,30,29.78,21,3,5,15,5.5,4.2
284,30,Non-Binary,Warehouse,Receiving Clerk,Midwest,Part-Time,Rotating,30,23.99,141,5,31,45,5.7,
285,51,Male,Warehouse,Inventory Analyst,Southeast,Full-Time,Afternoon,40,12.99,189,1,25,40,3.9,
286,63,Female,Customer Service,Call Center Agent,Southwest,Full-Time,Evening,40,17.75,72,2,37,44,4.3,3.1
287,36,Non-Binary,Marketing,Brand Analyst,Northeast,Part-Time,Rotating,25,39.58,121,3,39,66,5.4,
288,18,Non-Binary,HR,HR Generalist,West Coast,Full-Time,Rotating,40,27.84,1,1,1,9,5.7,
289,42,Male,Customer Service,CS Manager,Northeast,Part-Time,Evening,25,14.57,163,3,32,49,4.4,2.8
290,18,Female,Sales Floor,Visual Merchandiser,Northeast,Full-Time,Evening,35,23.46,1,5,16,34,6.5,2.7
291,32,Male,Warehouse,Warehouse Worker,Southeast,Full-Time,Afternoon,45,17.5,74,4,1,70,6.5,
292,39,Male,Supply Chain,Demand Planner,West Coast,Part-Time,Evening,25,30.66,157,5,17,46,7.6,
293,58,Non-Binary,Sales Floor,Store Manager,Northeast,Part-Time,Morning,25,18.17,26,5,5,45,6.0,2.9
294,58,Male,Customer Service,CS Manager,Southwest,Full-Time,Morning,35,19.4,117,1,39,52,4.2,2.6
295,46,Female,Warehouse,Forklift Operator,Southeast,Full-Time,Afternoon,50,26.28,104,2,8,59,4.2,
296,50,Male,Marketing,Marketing Manager,Southwest,Full-Time,Afternoon,35,33.47,160,3,10,88,5.9,
297,37,Non-Binary,Warehouse,Warehouse Worker,West Coast,Part-Time,Evening,30,29.33,93,5,34,33,8.2,
298,27,Non-Binary,Sales Floor,Store Manager,Southwest,Part-Time,Morning,25,28.07,96,3,38,78,5.7,3.4
299,41,Female,Finance,Controller,Northeast,Full-Time,Evening,40,26.71,165,4,36,34,7.4,
300,45,Male,Supply Chain,Procurement Analyst,West Coast,Full-Time,Morning,45,19.59,192,1,9,19,4.7,
301,60,Non-Binary,Warehouse,Shift Supervisor,Midwest,Full-Time,Evening,45,28.43,157,4,3,5,6.5,
302,24,Non-Binary,Sales Floor,Cashier,Southeast,Full-Time,Evening,45,29.74,1,4,38,31,6.6,4.6
303,61,Female,Sales Floor,Cashier,Midwest,Full-Time,Rotating,40,15.58,216,5,30,45,4.9,4.8
304,49,Non-Binary,HR,Recruiter,West Coast,Full-Time,Morning,35,20.92,35,2,6,44,3.2,
305,63,Non-Binary,Customer Service,CS Representative,West Coast,Full-Time,Rotating,40,18.31,145,4,11,86,6.3,4.2
306,60,Male,Finance,Controller,Southwest,Full-Time,Evening,35,37.31,20,4,33,47,5.8,
307,23,Non-Binary,Supply Chain,Demand Planner,Midwest,Full-Time,Morning,40,30.75,42,1,34,60,4.4,
308,44,Male,Sales Floor,Department Lead,Midwest,Full-Time,Morning,40,28.12,110,4,0,16,6.4,4.3
309,43,Female,HR,HR Generalist,Southeast,Part-Time,Evening,30,19.57,168,3,29,52,5.6,
310,64,Non-Binary,Warehouse,Shift Supervisor,Southeast,Full-Time,Rotating,35,18.02,36,1,21,5,2.6,
311,57,Female,Sales Floor,Store Manager,Northeast,Full-Time,Evening,45,20.52,201,1,19,67,5.0,4.3
312,47,Non-Binary,IT,POS Technician,Southeast,Part-Time,Morning,30,42.1,57,2,34,81,4.6,
313,55,Female,Supply Chain,Logistics Coordinator,Southeast,Full-Time,Morning,50,28.06,52,4,7,50,5.6,
314,32,Female,Sales Floor,Visual Merchandiser,Northeast,Part-Time,Rotating,20,23.52,111,1,29,89,3.3,3.2
315,54,Non-Binary,Marketing,Marketing Manager,West Coast,Full-Time,Rotating,35,36.3,73,1,35,64,5.0,
316,52,Female,Sales Floor,Visual Merchandiser,Southwest,Full-Time,Evening,40,21.05,133,5,32,24,5.4,3.9
317,61,Female,IT,IT Manager,West Coast,Full-Time,Afternoon,35,33.55,111,2,0,9,5.1,
318,25,Male,Customer Service,Returns Specialist,Northeast,Part-Time,Afternoon,30,29.16,25,1,4,46,4.7,4.3
319,52,Male,Sales Floor,Visual Merchandiser,Southeast,Full-Time,Evening,40,20.11,47,1,15,62,5.0,4.8
320,60,Non-Binary,Customer Service,CS Manager,Southeast,Full-Time,Evening,45,20.17,28,5,5,33,5.7,3.1
321,64,Female,Sales Floor,Store Associate,West Coast,Part-Time,Afternoon,30,23.6,20,3,28,81,4.1,2.6
322,34,Male,Marketing,Brand Analyst,West Coast,Full-Time,Evening,40,29.56,16,5,14,83,6.3,
323,61,Non-Binary,IT,IT Support,West Coast,Full-Time,Rotating,40,23.25,42,5,32,59,5.5,
324,23,Female,Sales Floor,Department Lead,Midwest,Full-Time,Rotating,45,19.77,28,4,9,82,4.5,2.8
325,65,Non-Binary,Sales Floor,Store Associate,Midwest,Full-Time,Evening,40,17.6,133,3,39,87,5.8,4.2
326,29,Female,IT,POS Technician,Southwest,Part-Time,Morning,20,23.92,73,1,33,57,4.8,
327,57,Female,Sales Floor,Store Manager,Midwest,Full-Time,Rotating,35,24.91,78,3,37,49,4.1,2.8
328,23,Female,Sales Floor,Visual Merchandiser,Northeast,Full-Time,Afternoon,45,28.2,1,3,39,22,6.4,3.1
329,52,Female,Marketing,Social Media Coordinator,Northeast,Full-Time,Evening,45,33.64,84,2,39,89,5.7,
330,33,Male,Customer Service,CS Manager,Northeast,Part-Time,Morning,25,18.27,134,4,25,82,6.7,4.6
331,41,Female,Sales Floor,Visual Merchandiser,Midwest,Part-Time,Afternoon,25,30.7,207,1,32,32,6.5,3.7
332,35,Non-Binary,Sales Floor,Store Manager,Southeast,Full-Time,Evening,40,13.92,61,3,30,78,3.8,3.0
333,41,Female,Sales Floor,Store Manager,Southeast,Full-Time,Morning,35,17.18,5,3,33,10,6.0,4.2
334,36,Male,HR,Recruiter,West Coast,Full-Time,Rotating,45,22.82,11,5,24,28,5.0,
335,45,Male,Customer Service,Call Center Agent,Northeast,Full-Time,Afternoon,40,19.22,225,4,13,53,5.2,3.8
336,27,Male,Finance,Payroll Specialist,Southwest,Full-Time,Afternoon,50,44.36,97,4,23,7,6.1,
337,24,Non-Binary,IT,Systems Administrator,Midwest,Full-Time,Rotating,35,30.73,37,5,32,58,5.8,
338,51,Male,Customer Service,Call Center Agent,Northeast,Part-Time,Evening,25,15.69,8,5,4,27,6.1,4.8
339,46,Male,IT,IT Manager,Midwest,Full-Time,Evening,45,33.19,177,4,17,41,6.3,
340,35,Non-Binary,Sales Floor,Visual Merchandiser,Southeast,Full-Time,Rotating,45,25.53,198,2,37,77,4.3,4.5
341,64,Male,Supply Chain,Logistics Coordinator,Northeast,Full-Time,Afternoon,40,17.26,111,1,2,54,4.2,
342,27,Female,Customer Service,CS Representative,Southwest,Part-Time,Rotating,20,25.88,75,3,31,18,6.5,3.7
343,29,Non-Binary,Warehouse,Inventory Analyst,Southwest,Full-Time,Morning,40,19.67,81,3,4,22,4.6,
344,50,Female,Customer Service,CS Representative,West Coast,Full-Time,Rotating,40,22.51,195,1,29,17,3.4,2.7
345,19,Female,Sales Floor,Cashier,West Coast,Full-Time,Evening,50,25.25,9,3,13,67,4.5,3.2
346,44,Male,Finance,Controller,Southwest,Full-Time,Afternoon,40,35.51,55,5,3,43,7.1,
347,49,Female,HR,HR Manager,West Coast,Full-Time,Rotating,35,27.74,85,2,7,76,5.2,
348,23,Male,Sales Floor,Store Manager,West Coast,Part-Time,Afternoon,25,15.19,46,5,28,44,5.0,3.5
349,22,Male,Marketing,Marketing Manager,Southeast,Full-Time,Morning,35,29.09,32,2,8,68,5.4,
350,44,Non-Binary,Customer Service,CS Manager,Northeast,Full-Time,Morning,45,14.33,56,4,10,55,4.5,3.4
351,19,Non-Binary,Warehouse,Warehouse Worker,Northeast,Full-Time,Rotating,40,28.78,2,3,4,33,4.6,
352,60,Non-Binary,Marketing,Marketing Manager,Southeast,Part-Time,Morning,25,37.01,115,5,5,81,6.2,
353,20,Non-Binary,Warehouse,Forklift Operator,Southwest,Part-Time,Rotating,25,21.82,15,1,40,41,3.6,
354,32,Female,Sales Floor,Store Manager,Midwest,Part-Time,Afternoon,30,14.24,62,2,26,21,4.6,3.5
355,33,Non-Binary,Warehouse,Warehouse Worker,Southwest,Full-Time,Evening,40,28.2,10,3,6,31,5.0,
356,55,Female,Warehouse,Forklift Operator,Northeast,Part-Time,Afternoon,30,12.0,214,3,5,86,4.2,
357,54,Male,Warehouse,Forklift Operator,Southeast,Full-Time,Afternoon,40,16.51,13,5,23,66,4.9,
358,19,Male,Customer Service,CS Representative,Northeast,Part-Time,Evening,25,14.83,9,3,2,16,3.6,3.4
359,41,Non-Binary,Customer Service,Returns Specialist,Southwest,Part-Time,Morning,25,17.11,2,3,23,70,5.4,4.1
360,65,Non-Binary,Marketing,Brand Analyst,Southwest,Part-Time,Afternoon,20,39.54,74,5,1,22,6.0,
361,65,Female,Customer Service,CS Representative,Southwest,Full-Time,Morning,45,27.31,5,3,7,79,6.2,2.6
362,35,Non-Binary,Warehouse,Inventory Analyst,Northeast,Full-Time,Morning,45,24.95,103,2,40,70,3.6,
363,52,Female,Marketing,Brand Analyst,Southwest,Full-Time,Rotating,40,25.27,226,1,16,76,6.4,
364,36,Male,Sales Floor,Cashier,Southwest,Part-Time,Evening,30,14.85,23,4,7,79,4.2,4.9
365,41,Female,Finance,Financial Analyst,West Coast,Full-Time,Morning,50,23.14,91,5,1,59,6.0,
366,46,Female,Supply Chain,Buyer,Southeast,Full-Time,Afternoon,40,16.06,177,1,2,83,4.2,
367,34,Male,Sales Floor,Visual Merchandiser,Northeast,Full-Time,Rotating,40,20.84,182,2,26,5,3.8,2.9
368,38,Female,Sales Floor,Store Manager,Midwest,Full-Time,Afternoon,40,13.61,233,1,28,58,4.0,3.1
369,35,Non-Binary,Supply Chain,Logistics Coordinator,Midwest,Part-Time,Morning,20,16.95,174,4,39,9,6.0,
370,31,Male,Sales Floor,Store Manager,West Coast,Full-Time,Rotating,40,30.08,55,5,10,79,7.1,2.6
371,42,Female,HR,HR Manager,Midwest,Full-Time,Rotating,45,32.0,72,4,16,64,6.8,
372,33,Male,Sales Floor,Store Associate,Midwest,Part-Time,Afternoon,30,29.66,147,5,10,70,6.9,4.7
373,38,Male,Sales Floor,Visual Merchandiser,Southeast,Part-Time,Evening,25,16.92,175,5,26,48,6.6,4.8
374,29,Non-Binary,Finance,Accountant,Midwest,Full-Time,Morning,45,22.35,53,4,31,33,6.4,
375,53,Male,Sales Floor,Store Associate,Southeast,Part-Time,Evening,20,26.75,231,4,25,80,7.4,4.1
376,49,Male,Marketing,Brand Analyst,Northeast,Full-Time,Morning,40,30.14,226,4,18,44,6.7,
377,47,Female,Supply Chain,Demand Planner,West Coast,Full-Time,Rotating,35,23.05,205,3,15,19,4.4,
378,38,Male,Warehouse,Shift Supervisor,West Coast,Full-Time,Rotating,40,23.26,154,2,26,34,3.6,
379,61,Female,Warehouse,Warehouse Worker,Southeast,Full-Time,Morning,40,31.77,221,3,26,56,7.6,
380,30,Female,Sales Floor,Store Manager,Midwest,Part-Time,Rotating,30,25.04,6,5,32,61,6.6,3.1
381,55,Male,Sales Floor,Department Lead,Northeast,Full-Time,Rotating,40,15.2,27,2,27,35,2.8,3.2
382,22,Male,Customer Service,CS Representative,Southeast,Part-Time,Evening,25,13.5,34,4,7,60,3.4,3.4
383,42,Female,Marketing,Brand Analyst,Southwest,Part-Time,Afternoon,20,32.61,237,4,14,49,7.7,
384,22,Non-Binary,Finance,Controller,Southeast,Full-Time,Morning,40,29.52,42,2,25,56,3.6,
385,53,Male,Finance,Financial Analyst,Southeast,Part-Time,Morning,25,30.42,50,5,6,56,6.5,
386,50,Male,Supply Chain,Buyer,Northeast,Full-Time,Morning,40,25.42,176,3,18,56,6.6,
387,34,Male,Warehouse,Shift Supervisor,Southeast,Part-Time,Rotating,20,30.79,178,5,29,32,6.1,
388,26,Male,Customer Service,CS Manager,Southwest,Full-Time,Afternoon,35,31.91,20,1,14,5,5.7,3.3
389,43,Female,Sales Floor,Store Associate,Northeast,Full-Time,Rotating,35,23.61,74,2,35,57,4.9,4.3
390,62,Male,Customer Service,CS Manager,Southwest,Full-Time,Morning,40,19.28,200,5,11,51,5.2,4.7
391,22,Female,Sales Floor,Cashier,Southwest,Full-Time,Morning,40,16.89,27,4,33,63,4.9,3.3
392,28,Non-Binary,Warehouse,Warehouse Worker,Southwest,Full-Time,Evening,35,13.42,53,3,1,36,3.7,
393,60,Non-Binary,Sales Floor,Visual Merchandiser,West Coast,Full-Time,Rotating,40,16.43,63,3,40,77,4.1,4.1
394,59,Non-Binary,Supply Chain,Demand Planner,Southwest,Part-Time,Morning,30,23.44,133,2,37,45,4.9,
395,46,Male,Sales Floor,Store Manager,Northeast,Full-Time,Evening,45,20.29,43,1,21,60,4.0,4.6
396,49,Male,Sales Floor,Store Associate,Southwest,Part-Time,Morning,20,23.52,142,1,5,40,3.3,3.5
397,28,Female,Sales Floor,Cashier,Northeast,Full-Time,Afternoon,40,14.56,5,3,32,47,3.5,3.9
398,48,Non-Binary,Customer Service,Call Center Agent,Northeast,Full-Time,Afternoon,45,14.6,238,4,1,58,4.8,3.6
399,53,Non-Binary,Sales Floor,Store Manager,Southwest,Full-Time,Morning,35,27.45,146,4,37,75,6.5,3.2
400,65,Non-Binary,Sales Floor,Store Manager,Southwest,Full-Time,Evening,35,13.71,214,3,22,33,4.9,4.7
401,35,Male,Warehouse,Forklift Operator,West Coast,Full-Time,Afternoon,35,22.71,87,5,12,61,6.0,
402,20,Female,Sales Floor,Visual Merchandiser,Southwest,Part-Time,Afternoon,30,18.49,10,4,31,86,4.6,3.0
403,39,Male,HR,Recruiter,West Coast,Full-Time,Morning,45,27.18,203,1,14,61,5.3,
404,31,Female,Finance,Accountant,Midwest,Part-Time,Evening,20,36.05,126,5,0,70,6.2,
405,55,Male,HR,HR Generalist,West Coast,Full-Time,Morning,45,28.96,119,5,13,84,7.6,
406,55,Non-Binary,Sales Floor,Cashier,Midwest,Part-Time,Afternoon,30,12.86,75,4,23,62,4.7,4.7
407,61,Female,Sales Floor,Store Associate,Northeast,Full-Time,Rotating,40,27.09,233,4,3,48,7.9,4.5
408,18,Female,Sales Floor,Visual Merchandiser,Southwest,Full-Time,Rotating,50,28.56,1,1,21,29,3.5,3.5
409,47,Male,Marketing,Social Media Coordinator,West Coast,Full-Time,Morning,35,27.29,180,4,39,62,6.3,
410,29,Female,Warehouse,Forklift Operator,Midwest,Part-Time,Morning,30,16.71,107,5,34,25,6.6,
411,52,Female,Customer Service,Call Center Agent,Northeast,Full-Time,Morning,35,27.16,181,1,18,18,5.0,3.8
412,24,Non-Binary,Customer Service,Returns Specialist,Midwest,Part-Time,Rotating,25,23.28,18,4,39,12,6.0,3.1
413,59,Non-Binary,Sales Floor,Store Associate,West Coast,Part-Time,Evening,30,30.88,177,2,5,30,5.4,2.7
414,48,Female,Customer Service,CS Representative,Northeast,Full-Time,Evening,35,27.63,48,5,31,21,7.1,4.6
415,46,Female,Warehouse,Receiving Clerk,Southeast,Full-Time,Morning,40,19.41,179,1,18,17,4.6,
416,60,Female,IT,POS Technician,West Coast,Full-Time,Afternoon,40,25.05,178,5,24,66,6.0,
417,19,Non-Binary,Customer Service,CS Representative,Southeast,Part-Time,Evening,30,25.4,10,5,39,40,7.7,4.8
418,43,Non-Binary,Sales Floor,Visual Merchandiser,Southwest,Full-Time,Evening,50,16.71,147,4,17,74,5.7,3.5
419,45,Non-Binary,Finance,Controller,West Coast,Full-Time,Morning,50,34.4,60,2,20,79,3.8,
420,47,Male,Sales Floor,Department Lead,Midwest,Full-Time,Afternoon,35,21.05,72,3,21,24,5.2,3.4
421,59,Female,Customer Service,Returns Specialist,Southwest,Part-Time,Rotating,30,13.1,42,1,39,36,1.0,3.3
422,38,Female,Customer Service,CS Representative,Southeast,Full-Time,Morning,40,12.37,106,3,34,68,4.7,4.1
423,59,Female,Sales Floor,Store Manager,West Coast,Full-Time,Afternoon,45,24.01,173,3,25,62,6.3,2.9
424,33,Male,Marketing,Brand Analyst,Southwest,Full-Time,Rotating,40,31.27,24,4,26,61,6.4,
425,52,Female,HR,HR Manager,Southeast,Part-Time,Afternoon,20,15.96,31,4,8,43,6.0,
426,43,Male,Warehouse,Receiving Clerk,Midwest,Full-Time,Evening,45,17.54,102,4,28,8,5.7,
427,24,Male,HR,Training Coordinator,Midwest,Full-Time,Morning,40,19.61,17,1,34,88,3.6,
428,50,Female,Finance,Payroll Specialist,Midwest,Full-Time,Morning,45,35.55,42,1,22,36,5.1,
429,44,Female,Warehouse,Shift Supervisor,West Coast,Part-Time,Morning,20,13.59,154,2,13,29,2.8,
430,58,Male,Supply Chain,Procurement Analyst,Midwest,Full-Time,Evening,35,17.34,117,2,29,59,3.7,
431,33,Female,Warehouse,Receiving Clerk,Southeast,Full-Time,Afternoon,45,20.72,58,5,19,24,5.4,
432,42,Non-Binary,HR,HR Manager,Southwest,Full-Time,Rotating,45,26.35,22,2,36,51,3.7,
433,60,Female,Warehouse,Shift Supervisor,Southeast,Part-Time,Rotating,30,14.81,47,3,40,59,3.1,
434,32,Non-Binary,Marketing,Digital Marketing Specialist,Northeast,Full-Time,Evening,40,37.53,139,4,16,43,7.6,
435,61,Female,Customer Service,CS Representative,Midwest,Full-Time,Evening,50,18.79,54,3,11,48,5.1,4.5
436,65,Non-Binary,Sales Floor,Visual Merchandiser,Southwest,Full-Time,Morning,35,31.79,166,2,32,41,5.0,2.7
437,61,Non-Binary,HR,HR Generalist,Southwest,Full-Time,Morning,35,26.7,70,1,23,73,6.5,
438,63,Non-Binary,Supply Chain,Buyer,Southwest,Part-Time,Morning,25,20.03,90,1,40,87,5.2,
439,31,Female,Warehouse,Receiving Clerk,Southwest,Part-Time,Afternoon,30,27.81,113,2,7,45,6.0,
440,19,Female,Sales Floor,Store Manager,West Coast,Part-Time,Evening,30,12.34,12,2,13,18,1.6,4.0
441,39,Female,Customer Service,CS Manager,Northeast,Full-Time,Afternoon,40,28.98,176,3,40,85,6.2,3.1
442,63,Non-Binary,Sales Floor,Department Lead,Midwest,Full-Time,Evening,50,26.5,95,2,32,43,4.4,3.5
443,33,Male,Sales Floor,Store Manager,West Coast,Part-Time,Evening,25,12.59,155,1,34,69,3.2,4.2
444,39,Non-Binary,HR,HR Generalist,West Coast,Full-Time,Afternoon,40,28.61,124,2,38,62,6.1,
445,61,Female,Warehouse,Inventory Analyst,West Coast,Full-Time,Evening,35,27.87,134,1,28,42,5.7,
446,28,Male,Customer Service,CS Representative,Southeast,Full-Time,Morning,50,28.14,58,3,33,62,6.0,3.8
447,39,Non-Binary,Marketing,Marketing Manager,Southwest,Part-Time,Afternoon,20,42.57,227,1,29,41,5.0,
448,57,Male,Sales Floor,Cashier,Southeast,Part-Time,Morning,25,24.58,43,3,0,66,4.5,3.1
449,59,Female,Customer Service,CS Representative,West Coast,Part-Time,Morning,25,15.62,160,4,31,28,5.4,4.4
450,45,Female,Customer Service,Returns Specialist,Southeast,Full-Time,Rotating,35,20.41,22,1,31,78,3.6,3.7
451,33,Non-Binary,Sales Floor,Store Associate,West Coast,Part-Time,Afternoon,20,12.1,28,1,40,72,3.0,4.3
452,36,Non-Binary,Supply Chain,Procurement Analyst,Southwest,Full-Time,Rotating,45,26.23,18,3,13,9,5.3,
453,43,Male,Finance,Payroll Specialist,Northeast,Part-Time,Afternoon,25,28.92,126,3,17,65,6.5,
454,47,Female,Warehouse,Forklift Operator,Southwest,Part-Time,Afternoon,20,14.44,136,1,2,12,3.3,
455,59,Female,Customer Service,CS Representative,Northeast,Part-Time,Rotating,20,18.9,25,4,40,59,5.0,3.5
456,64,Non-Binary,Warehouse,Warehouse Worker,Southeast,Full-Time,Rotating,40,29.41,58,3,40,80,6.0,
457,57,Male,IT,IT Support,West Coast,Full-Time,Afternoon,40,34.17,184,5,25,45,6.4,
458,34,Female,Sales Floor,Store Manager,Northeast,Part-Time,Afternoon,20,21.26,157,1,9,55,3.6,2.6
459,36,Male,Warehouse,Receiving Clerk,Southwest,Full-Time,Morning,50,16.22,203,2,21,15,4.3,
460,28,Non-Binary,Sales Floor,Department Lead,West Coast,Full-Time,Rotating,45,15.51,12,2,15,8,3.8,3.5
461,62,Non-Binary,Supply Chain,Procurement Analyst,West Coast,Full-Time,Rotating,45,13.58,132,2,23,69,4.1,
462,26,Non-Binary,Finance,Controller,Southwest,Part-Time,Morning,25,31.31,12,1,0,77,6.4,
463,32,Female,Finance,Controller,Southwest,Part-Time,Afternoon,20,31.62,95,2,28,19,4.6,
464,44,Female,Customer Service,Call Center Agent,Midwest,Part-Time,Evening,25,21.45,189,5,19,59,6.3,3.1
465,38,Male,IT,POS Technician,Southeast,Full-Time,Rotating,50,41.2,118,4,30,33,4.9,
466,65,Male,IT,Systems Administrator,Southwest,Part-Time,Morning,20,22.39,213,5,22,87,7.0,
467,57,Non-Binary,Warehouse,Warehouse Worker,West Coast,Part-Time,Afternoon,25,13.16,98,3,31,67,4.6,
468,61,Male,Sales Floor,Visual Merchandiser,Midwest,Part-Time,Afternoon,25,27.56,176,1,25,21,5.7,4.4
469,23,Female,Warehouse,Receiving Clerk,West Coast,Part-Time,Rotating,30,25.23,21,2,1,78,4.9,
470,31,Male,Supply Chain,Buyer,West Coast,Part-Time,Afternoon,30,22.55,105,5,31,61,7.1,
471,62,Female,Sales Floor,Store Manager,Midwest,Full-Time,Morning,40,21.28,67,5,31,42,5.4,2.9
472,43,Non-Binary,Sales Floor,Store Manager,Southeast,Full-Time,Afternoon,40,22.45,136,2,37,47,4.9,2.6
473,34,Non-Binary,Sales Floor,Department Lead,Midwest,Part-Time,Afternoon,30,20.76,135,2,6,28,4.7,4.8
474,32,Male,Supply Chain,Logistics Coordinator,Southwest,Part-Time,Morning,30,14.09,69,4,16,38,3.9,
475,51,Non-Binary,Warehouse,Receiving Clerk,Southwest,Full-Time,Evening,50,14.3,205,5,11,13,4.5,
476,59,Female,Customer Service,Returns Specialist,Midwest,Full-Time,Morning,40,28.68,117,1,22,61,4.4,2.5
477,51,Non-Binary,Warehouse,Receiving Clerk,Southwest,Part-Time,Morning,25,25.33,77,1,11,63,4.8,
478,34,Female,Sales Floor,Store Manager,Southeast,Part-Time,Afternoon,30,31.07,93,5,7,54,8.2,4.4
479,37,Non-Binary,Sales Floor,Cashier,Midwest,Full-Time,Morning,45,13.97,105,5,6,9,5.5,4.1
480,54,Female,Customer Service,CS Representative,Southeast,Full-Time,Afternoon,50,18.27,130,5,0,17,5.2,3.1
